"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42354-14554","SF","E'Twaun","E'Twaun Moore","Moore","17.381817904385652","22","4100","NO@SAC","NO","SAC","","","","",""
"42354-42202","PF","Christian","Christian Wood","Wood","18.538710071194558","31","4100","DET@GS","DET","GS","","","","",""
"42354-48940","SF","Wes","Wes Iwundu","Iwundu","9.325","20","4100","UTA@ORL","ORL","UTA","","","","",""
"42354-9577","SF","Rudy","Rudy Gay","Gay","22.421212861032195","33","4100","SA@MIL","SA","MIL","","","","",""
"42354-58378","C","Jakob","Jakob Poeltl","Poeltl","20.284849224668562","33","4000","SA@MIL","SA","MIL","","","","",""
"42354-40562","SG","Josh","Josh Hart","Hart","22.651850947627313","27","4000","NO@SAC","NO","SAC","","","","",""
"42354-117913","C","Anzejs","Anzejs Pasecniks","Pasecniks","17.155554877387154","9","4000","DEN@WAS","WAS","DEN","","","","",""
"42354-14523","PG","Reggie","Reggie Jackson","Jackson","13.5","2","4000","DET@GS","DET","GS","O","Back","","",""
"42354-14529","PG","Cory","Cory Joseph","Joseph","17.55142822265625","35","4000","NO@SAC","SAC","NO","","","","",""
"42354-15590","C","Mason","Mason Plumlee","Plumlee","19.53529447667739","34","4000","DEN@WAS","DEN","WAS","","","","",""
"42354-9655","SG","JJ","JJ Redick","Redick","22.037500381469727","32","4000","NO@SAC","NO","SAC","","","","",""
"42354-9666","PF","Thaddeus","Thaddeus Young","Young","19.044117647058822","34","4000","BOS@CHI","CHI","BOS","","","","",""
"42354-111671","PG","Ky","Ky Bowman","Bowman","17.537500381469727","32","3900","DET@GS","GS","DET","","","","",""
"42354-84675","C","Mo","Mo Bamba","Bamba","16.88666687011719","30","3900","UTA@ORL","ORL","UTA","","","","",""
"42354-16071","PG","Tim","Tim Frazier","Frazier","11.676190330868675","21","3900","DET@GS","DET","GS","","","","",""
"42354-84690","PG","Jalen","Jalen Brunson","Brunson","16.28529447667739","34","3900","CHA@DAL","DAL","CHA","","","","",""
"42354-23788","SG","Bryn","Bryn Forbes","Forbes","17.51212195194129","33","3900","SA@MIL","SA","MIL","","","","",""
"42354-84724","PG","Landry","Landry Shamet","Shamet","15.036842747738486","19","3900","MEM@LAC","LAC","MEM","","","","",""
"42354-110339","SF","Cam","Cam Reddish","Reddish","17.654838315902218","31","3900","IND@ATL","ATL","IND","","","","",""
"42354-9495","PG","J.J.","J.J. Barea","Barea","16.355555216471355","9","3900","CHA@DAL","DAL","CHA","","","","",""
"42354-80823","C","Tony","Tony Bradley","Bradley","9.947826219641644","23","3900","UTA@ORL","UTA","ORL","","","","",""
"42354-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","15.272221883138021","18","3800","UTA@ORL","ORL","UTA","O","Knee","","",""
"42354-42550","PF","Jabari","Jabari Parker","Parker","28.816128638482862","31","3800","IND@ATL","ATL","IND","","","","",""
"42354-58461","PF","Trey","Trey Lyles","Lyles","14.139394124348959","33","3800","SA@MIL","SA","MIL","","","","",""
"42354-58081","PG","Tyus","Tyus Jones","Jones","17.511429268973213","35","3800","MEM@LAC","MEM","LAC","","","","",""
"42354-23831","PF","Jerami","Jerami Grant","Grant","17.444116928998163","34","3800","DEN@WAS","DEN","WAS","","","","",""
"42354-9538","SF","Trevor","Trevor Ariza","Ariza","15.515384380634014","26","3800","NO@SAC","SAC","NO","","","","",""
"42354-18338","PF","Royce","Royce O'Neale","O'Neale","18.538234935087317","34","3800","UTA@ORL","UTA","ORL","","","","",""
"42354-9664","SG","Andre","Andre Iguodala","Iguodala","19.108823888442096","68","3800","MEM@LAC","MEM","LAC","O","Not injury related","","",""
"42354-110637","SF","Darius","Darius Bazley","Bazley","11.461765064912683","34","3700","OKC@CLE","OKC","CLE","","","","",""
